WKT,醫療院所,縣市,鄉鎮市區,地址,電話,lat,lon
POINT (121.552010000001 25.0405999997401),敦化芝加哥牙醫診所,臺北市,大安區,仁愛路四段一五一巷三十九號二樓,0227315566,25.0405999997401,121.552010000001
POINT (121.554640000181 25.0396899997028),嘉正牙醫診所,臺北市,大安區,延吉街一三八巷三號四樓,87719706,25.0396899997028,121.554640000181
POINT (121.552096004103 25.0283617071089),童兆鯤牙醫診所,臺北市,大安區,樂利路十一巷二四號,0227398138,25.0283617071089,121.552096004103
POINT (121.556437345712 25.0397179683415),榮主診所,臺北市,大安區,光復南路280巷23號3樓,27116512,25.0397179683415,121.556437345712
POINT (121.528127227939 25.0219392977775),王暉政眼科診所,臺北市,大安區,師大路110號1Ｆ,0223629033,25.0219392977775,121.528127227939
POINT (121.554360709708 25.0224346166902),朝代牙醫診所,臺北市,大安區,和平東路3段218號,2735-2100,25.0224346166902,121.554360709708
POINT (121.54407967825 25.0414122971849),儷人整形外科診所,臺北市,大安區,忠孝東路四段六十號五樓之一,27775317,25.0414122971849,121.54407967825
POINT (121.543496464682 25.0396916229444),杏語心靈診所,臺北市,大安區,復興南路1段200號11樓,27751526,25.0396916229444,121.543496464682
POINT (121.548599999892 25.0389299997368),鍾啟榮皮膚科診所,臺北市,大安區,敦化南路一段二OO號三樓之一,27716767,25.0389299997368,121.548599999892
POINT (121.53609798203 25.0256434049357),李翔耳鼻喉科診所,臺北市,大安區,和平東路2段18之8號2Ｆ,0223697877,25.0256434049357,121.53609798203
POINT (121.549761652277 25.022136678281),張渝醫師診所,臺北市,大安區,基隆路二段270號1Ｆ,0227321318,25.022136678281,121.549761652277
POINT (121.531789345122 25.0265311908331),許世賓婦產科診所,臺北市,大安區,和平東路一段169號2、4樓171號2樓,33932211,25.0265311908331,121.531789345122
POINT (121.532510997439 25.0332877889545),德恩中醫診所,臺北市,大安區,新生南路2段2號2樓之4,23979951,25.0332877889545,121.532510997439
POINT (121.521854623012 25.0282184497773),白石牙醫診所,臺北市,大安區,杭州南路2段107號3樓,23568080,25.0282184497773,121.521854623012
POINT (121.544060481117 25.0376728318559),瀚群骨科診所,臺北市,大安區,仁愛路4段2號1樓、2號3樓,87736903,25.0376728318559,121.544060481117
POINT (121.557227237233 25.0197180133449),品範牙醫診所,臺北市,大安區,和平東路3段340號,87321503,25.0197180133449,121.557227237233
POINT (121.543687336786 25.0274071214492),京禾中醫診所,臺北市,大安區,復興南路二段173之1號2樓,27099566,25.0274071214492,121.543687336786
POINT (121.547198619077 25.0359357691379),寶吉祥中醫診所,臺北市,大安區,東豐街54號,27081082,25.0359357691379,121.547198619077
POINT (121.556073470087 25.0207983100168),邱醫師診所,臺北市,大安區,和平東路3段288號,02-27392696,25.0207983100168,121.556073470087
POINT (121.55064738356 25.0416981502162),永恩牙醫診所,臺北市,大安區,忠孝東路四段177號9樓－4,0227215157,25.0416981502162,121.55064738356
POINT (121.543859534607 25.0354131377861),中華民國防癌篩檢中心醫療財團法人,臺北市,大安區,復興南路一段287號7樓之1,02-27014936,25.0354131377861,121.543859534607
POINT (121.541796167158 25.0427101731977),康和中醫診所,臺北市,大安區,忠孝東路三段251巷5弄1號,27810990,25.0427101731977,121.541796167158
POINT (121.530312278096 25.0189785120605),育生中醫診所,臺北市,大安區,羅斯福路三段261號3樓、4樓,0223670436,25.0189785120605,121.530312278096
POINT (121.552312000228 25.0202970002224),上德牙醫診所,臺北市,大安區,臥龍街一五一巷七十四號一Ｆ,0227339426,25.0202970002224,121.552312000228
POINT (121.54709082866 25.0419051653172),慧安牙醫診所,臺北市,大安區,忠孝東路四段75之7號(8樓),87738643,25.0419051653172,121.54709082866
POINT (121.533979516822 25.0370538476972),仁本牙醫診所,臺北市,大安區,新生南路一段137巷17號1樓,0227032655,25.0370538476972,121.533979516822
POINT (121.551545773368 25.0405895240537),新慶生診所,臺北市,大安區,仁愛路四段151巷36號2樓之1,87710288,25.0405895240537,121.551545773368
POINT (121.555702063511 25.0363411588754),田嘉程診所,臺北市,大安區,延吉街239之1號,27018262,25.0363411588754,121.555702063511
POINT (121.546959759918 25.0418102636488),昕彤診所,臺北市,大安區,忠孝東路4段73之3號(4樓),02-27720341,25.0418102636488,121.546959759918
POINT (121.556445410637 25.0399047034883),楊氏診所,臺北市,大安區,光復南路280巷24號3、4、5樓,27763008,25.0399047034883,121.556445410637
POINT (121.535971822228 25.0416703890247),群維診所,臺北市,大安區,忠孝東路3段88號2樓、2樓之1,27216979,25.0416703890247,121.535971822228
POINT (121.546957831282 25.0245288666223),那明珠診所,臺北市,大安區,和平東路3段8號,27360589,25.0245288666223,121.546957831282
POINT (121.548442389346 25.033599003462),陳峙仰診所,臺北市,大安區,敦化南路1段376號4樓之1,27542658,25.033599003462,121.548442389346
POINT (121.534622835264 25.0386065586636),哈利路亞曾英欽診所,臺北市,大安區,仁愛路3段29號地下室,0227115573,25.0386065586636,121.534622835264
POINT (121.549168933739 25.0346135586262),大安林內科診所,臺北市,大安區,敦化南路一段321號5樓,0227083703,25.0346135586262,121.549168933739
POINT (121.545003736436 25.0336611987408),詹骨科診所,臺北市,大安區,信義路四段53巷6號,0227078046,25.0336611987408,121.545003736436
POINT (121.545439759748 25.0335313940841),吳坤光婦產科診所,臺北市,大安區,信義路四段59號,0227059320,25.0335313940841,121.545439759748
POINT (121.546162968044 25.0248689195701),全家聯合診所,臺北市,大安區,和平東路二段353號,0227067575,25.0248689195701,121.546162968044
POINT (121.546007746294 25.0448466687856),林青穀家庭醫學科診所,臺北市,大安區,大安路1段2之1號,0227317557,25.0448466687856,121.546007746294
POINT (121.548122928378 25.0276675771162),沈德昌診所,臺北市,大安區,四維路189號1樓,0227035300,25.0276675771162,121.548122928378
POINT (121.539110043611 25.0424069246141),林繼國診所,臺北市,大安區,忠孝東路三段217巷1弄12號1樓,0227315568,25.0424069246141,121.539110043611
POINT (121.554813091789 25.0405776424208),優德診所,臺北市,大安區,延吉街153－2號5樓,0227219923,25.0405776424208,121.554813091789
POINT (121.552580204633 25.0412326171004),林慧雯婦產科診所,臺北市,大安區,忠孝東路4段210之1號2樓,27117111,25.0412326171004,121.552580204633
POINT (121.529810864006 25.0197159299082),皇家診所,臺北市,大安區,羅斯福路三段227號10樓,23691450,25.0197159299082,121.529810864006
POINT (121.551712807073 25.0308819559747),靖妃中醫診所,臺北市,大安區,敦化南路2段63巷58號,27042328,25.0308819559747,121.551712807073
POINT (121.55046354677 25.0334286067058),杏誠復健科診所,臺北市,大安區,信義路4段173號2樓,27061732,25.0334286067058,121.55046354677
POINT (121.554401511111 25.0222684525497),大安牙醫診所,臺北市,大安區,和平東路3段228巷2號2樓,23776060,25.0222684525497,121.554401511111
POINT (121.554211475843 25.0411959597454),華品中醫診所,臺北市,大安區,忠孝東路4段250號3樓之3,87739232,25.0411959597454,121.554211475843
POINT (121.556307888918 25.0279196105943),景崧現代中醫診所,臺北市,大安區,基隆路二段148號,（02）87322299,25.0279196105943,121.556307888918
POINT (121.543931573613 25.0346476109674),極緻美學牙醫診所,臺北市,大安區,復興南路1段305號及303號2樓,27017600,25.0346476109674,121.543931573613
POINT (121.544663391297 25.0335492641664),復安牙醫診所,臺北市,大安區,信義路4段25號,270668880,25.0335492641664,121.544663391297
POINT (121.525367019288 25.0235052177093),全德中醫診所,臺北市,大安區,羅斯福路3段37號3樓,23682482,25.0235052177093,121.525367019288
POINT (121.532510997439 25.0332877889545),鼎心診所,臺北市,大安區,新生南路2段2號2樓之5,23279188,25.0332877889545,121.532510997439
POINT (121.545948460831 25.0304171283135),大地牙醫診所,臺北市,大安區,大安路二段一二0號一樓,0227023732,25.0304171283135,121.545948460831
POINT (121.542659452501 25.0273638132678),復興牙醫診所,臺北市,大安區,復興南路二段180巷8號1樓,0227013053,25.0273638132678,121.542659452501
POINT (121.548356508357 25.0239434651281),幸園全方位牙醫診所,臺北市,大安區,敦化南路二段174號2Ｆ,0227028324,25.0239434651281,121.548356508357
POINT (121.552871641738 25.0404851081751),僑展牙醫診所,臺北市,大安區,忠孝東路四段216巷16號2樓－1,0227521587,25.0404851081751,121.552871641738
POINT (121.540586401017 25.0254607359668),永大牙醫診所,臺北市,大安區,和平東路二段127號,0227082603,25.0254607359668,121.540586401017
POINT (121.544119999514 25.0391200000145),得人牙醫診所,臺北市,大安區,復興南路一段一0七巷五弄六號二樓,27735889,25.0391200000145,121.544119999514
POINT (121.557328435209 25.0340974056315),漢光牙醫診所,臺北市,大安區,光復南路五七0號三樓,27024702,25.0340974056315,121.557328435209
POINT (121.547241930073 25.041352813464),怡豪牙醫診所,臺北市,大安區,忠孝東路四段一二0號D棟九樓,27527275,25.041352813464,121.547241930073
POINT (121.550289137829 25.041284684909),理想家牙醫診所,臺北市,大安區,忠孝東路四段162號6樓,02-27720128,25.041284684909,121.550289137829
POINT (121.552699259068 25.035796444379),許必靈牙醫診所,臺北市,大安區,安和路一段99號2樓之1,0227556600,25.035796444379,121.552699259068
POINT (121.531585332131 25.0191041132332),保順牙醫診所,臺北市,大安區,羅斯福路三段283巷13號,0223635273,25.0191041132332,121.531585332131
POINT (121.541425617153 25.041020209604),懷生牙醫診所,臺北市,大安區,忠孝東路三段248巷9－1號,0227721825,25.041020209604,121.541425617153
POINT (121.555571798902 25.0357402450312),黃明仁牙醫診所,臺北市,大安區,延吉街242號,0227097149,25.0357402450312,121.555571798902
POINT (121.551413223923 25.0330194151176),春天診所,臺北市,大安區,信義路四段184號3樓,27007798,25.0330194151176,121.551413223923
POINT (121.545452027284 25.0418542866941),薇娜時尚美學診所,臺北市,大安區,忠孝東路4段53之2號,87715328,25.0418542866941,121.545452027284
POINT (121.531930793271 25.0173729782447),藝林整形外科診所,臺北市,大安區,羅斯福路3段309號4樓之2,02-33653196,25.0173729782447,121.531930793271
POINT (121.543876607314 25.0362224231103),佳音診所,臺北市,大安區,復興南路1段261之3號1樓,02-27054430,25.0362224231103,121.543876607314
POINT (121.548500399775 25.0425463651198),蔣曉山整形外科診所,臺北市,大安區,敦化南路一段192號2樓,87738939,25.0425463651198,121.548500399775
POINT (121.545403793787 25.0359441783128),同心婦產科診所,臺北市,大安區,東豐街26號,27010020,25.0359441783128,121.545403793787
POINT (121.544384251922 25.0418368938397),光能身心診所,臺北市,大安區,忠孝東路四段15號8樓,27214322,25.0418368938397,121.544384251922
POINT (121.548289925271 25.0417482458543),亞立山大時尚整形診所,臺北市,大安區,忠孝東路4段107號3樓之1,27529018,25.0417482458543,121.548289925271
POINT (121.54077048814 25.0418498909577),電眼美人診所,臺北市,大安區,忠孝東路三段239號3樓,27889600,25.0418498909577,121.54077048814
POINT (121.543983490403 25.0412641954133),微整形外科診所,臺北市,大安區,忠孝東路4段2號7樓之8、7樓之9,27714088,25.0412641954133,121.543983490403
POINT (121.556467233351 25.0406576574676),康婕婦產科診所,臺北市,大安區,光復南路240巷23號2樓,27036718,25.0406576574676,121.556467233351
POINT (121.532510997439 25.0332877889545),優美診所,臺北市,大安區,新生南路二段2號7樓之5,23221719,25.0332877889545,121.532510997439
POINT (121.537265659995 25.025173374666),潤弘診所,臺北市,大安區,建國南路二段276號3樓,23690211,25.025173374666,121.537265659995
POINT (121.546099485483 25.0285658683633),劉建宏診所,臺北市,大安區,大安路二段139號,02-2700-2368,25.0285658683633,121.546099485483
POINT (121.532304299439 25.0330828243919),聯合整形外科診所,臺北市,大安區,新生南路二段8號2樓,23942333,25.0330828243919,121.532304299439
POINT (121.546900712176 25.0434893111142),頂好林耳鼻喉科診所,臺北市,大安區,敦化南路一段160巷50號,0227783142,25.0434893111142,121.546900712176
POINT (121.549184688319 25.0289125249812),安法診所,臺北市,大安區,敦化南路二段97號27樓,0223250505,25.0289125249812,121.549184688319
POINT (121.546102808546 25.032211443889),謝林診所,臺北市,大安區,大安路2段21號,0227066266,25.032211443889,121.546102808546
POINT (121.528590346019 25.0236809386008),黃禎憲皮膚科診所,臺北市,大安區,師大路71號2樓及77號,0223681919,25.0236809386008,121.528590346019
POINT (121.529875425242 25.0197698269523),簡萬居耳鼻喉科診所,臺北市,大安區,辛亥路一段28號,0223680279,25.0197698269523,121.529875425242
POINT (121.523281367914 25.0268276980735),陳柏豪耳鼻喉科診所,臺北市,大安區,和平東路一段10號,0223625458,25.0268276980735,121.523281367914
POINT (121.541730000355 25.0268600001413),仁安診所,臺北市,大安區,和平東路二段一七五巷三十四號一樓,0227065995,25.0268600001413,121.541730000355
POINT (121.54422197732 25.0284762985193),世旻牙醫診所,臺北市,大安區,復興南路二段151巷13號,27081398,25.0284762985193,121.54422197732
POINT (121.541719111155 25.0283678018894),嘉士美牙醫診所,臺北市,大安區,復興南路2段148巷35號,27075166,25.0283678018894,121.541719111155
POINT (121.555456607165 25.0382772301709),劉賢平婦產科診所,臺北市,大安區,延吉街175號2樓,0227216133,25.0382772301709,121.555456607165
POINT (121.557375555709 25.0362048123742),黃清浩耳鼻喉科診所,臺北市,大安區,光復南路430號,0227085413,25.0362048123742,121.557375555709
POINT (121.549249999792 25.0330399998654),家安復健科診所,臺北市,大安區,敦化南路二段一六八及一七0號地下一樓,27353710,25.0330399998654,121.549249999792
POINT (121.547241930073 25.041352813464),薇妮斯整形外科診所,臺北市,大安區,忠孝東路4段120之12號12樓,27523008,25.041352813464,121.547241930073
POINT (121.555959999573 25.0358500000048),延吉診所,臺北市,大安區,延吉街二四一巷二弄五號一樓,27035082,25.0358500000048,121.555959999573
POINT (121.548358887149 25.0241739912406),尖端診所,臺北市,大安區,敦化南路二段一六八號十一樓,23789734,25.0241739912406,121.548358887149
POINT (121.530702771287 25.0185872235656),滿意婦產科診所,臺北市,大安區,羅斯福路三段二七一號三樓及三樓之一,23659191,25.0185872235656,121.530702771287
POINT (121.554058556099 25.0226801278779),宜德復健科診所,臺北市,大安區,和平東路三段二一0號,27356266,25.0226801278779,121.554058556099
POINT (121.556327321552 25.0415868850519),漂亮愛爾麗整形外科診所,臺北市,大安區,忠孝東路4段325號3樓,28778383,25.0415868850519,121.556327321552
POINT (121.530904867226 25.0299149128826),華漾皮膚專科診所,臺北市,大安區,金華街二四九號,33222211,25.0299149128826,121.530904867226
POINT (121.543947298464 25.0391655487869),安麗整形外科診所,臺北市,大安區,復興南路1段215號6樓,8772-2366,25.0391655487869,121.543947298464
POINT (121.542060326495 25.0418428959148),華仁牙醫診所,臺北市,大安區,忠孝東路3段259號1-2樓,0227112815,25.0418428959148,121.542060326495
POINT (121.541121525326 25.0423105811253),立大牙醫診所,臺北市,大安區,忠孝東路三段251巷4弄10號,0227215491,25.0423105811253,121.541121525326
POINT (121.552708005032 25.0304016880376),三普牙醫診所,臺北市,大安區,安和路2段69巷8號,0227383398,25.0304016880376,121.552708005032
POINT (121.543225875701 25.0232570610738),大勝牙醫診所,臺北市,大安區,復興南路二段320號,0227360911,25.0232570610738,121.543225875701
POINT (121.53128185464 25.0261760597607),名人牙醫診所,臺北市,大安區,和平東路一段200號2樓,0223628691,25.0261760597607,121.53128185464
