編號,行政區,服務單位名稱,連絡人,電話,據點地址,開辦時間,lat,lon
1,北投區,臺北榮民總醫院失智治療及研究中心,張秀君,(02)2871-2121 #86764,臺北市北投區奇岩里16鄰三合街一段119號一樓,"周二至五上午,周一至周五下午",25.1263292,121.5039805
2,北投區,財團法人老五老基金會,黃芯梅,(02)2821-2959#24,臺北市北投區福興里石牌路一段14號,周一至周五下午,25.1126848,121.5097867
3,北投區,臺北市北投區林泉社區發展協會,易玉梅,(02)2895-2630,臺北市北投區新民路46巷37號,周一至周五全日,25.1390308,121.5075477
4,北投區,臺北市立關渡醫院委託臺北榮民總醫院經營,陳怡婷,(02)2858-7000#8201,台北市北投區關渡里知行路260巷28號1樓,周一至周五全日,25.1208535,121.4683369
5,士林區,臺北市立聯合醫院陽明院區神經內科,謝炘宜,2835-3456#5178,臺北市士林區聖山里忠義街92號1樓,周二、三、五全日,25.1064603,121.5321644
6,士林區,新康居家職能治療所(士林站),洪于婷,0911-505-217,台北市士林區名山里至誠路二段120巷1號,周一至週五全日,25.1014463,121.5268766
7,士林區,財團法人台北市中華基督教浸信會慈光堂,辛守仁,(02)2841-2290#17,台北市士林區翠山里中社路一段43巷5號,周一、三、五全日,25.1089472,121.5602616
8,士林區,財團法人臺北市華夏婦女文教基金會,潘沐萱,0978-383-663,台北市士林區岩山里至誠路一段62巷28號,周一、三、四全日,25.1023227,121.5359799
9,士林區,大心居家職能治療所(士林站),馮淑嫻,(02)2812-1740,臺北市士林區通河西街二段106號1樓,周一至周五全日,25.0926972,121.508088
10,士林區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,胡乃方,(02)2543-3535#2770,臺北市士林區福德里中正路335巷11號5樓(士林長老教會教育館),周一、二、五全日,25.094041,121.523254
11,內湖區,社團法人中華民國香柏樹長者社區關懷協會承辦臺北市內湖老人服務中心,蔡婉瑢,(02)26325560#12,臺北市內湖區東湖里康樂街110巷16弄20號5樓,周二、三、四全日,25.0704268,121.6183878
12,內湖區,財團法人台灣基督教恩惠福音會,鄭書芳,(02)2797-1000,台北市內湖區港墘里內湖路一段608號,周一、二、三、四全日,25.078379,121.5783952
13,內湖區,中華民國天使之家全人關懷協會,黃池麗子,(02)2790-9454,臺北市內湖區湖興里025鄰成功路二段242號1樓,周二至周五全日,25.065888,121.5900616
14,大同區,財團法人中華民國佛教慈濟慈善事業基金會(大同站),王渝,(02)4051-0777#6054,"臺北市大同區老師里14鄰,延平北路四段237號7樓",周一、二、三、四全日,25.07612,121.512106
15,大同區,社團法人寧祈全人健康生命關懷協會(大同站),云甄,(02)2521-3282,臺北市大同區延平里甘州街40號7樓(大稻埕教會),周一至五全日,25.0596045,121.5125161
