醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,lat,lon
5901010058,安郁藥局,藥師自營,(02)25774551,臺北市松山區八德路３段１２巷５１弄１６號１樓,臺北業務組,5,,,20221011,,,63000,19960530,25.0460528,121.5512023
5901010076,榮星藥局,藥劑生自營,(02)27124696,臺北市松山區南京東路４段１３３巷５弄１號,臺北業務組,5,,,20261129,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,19961130,25.0513268,121.5582138
5901010085,安世藥局,藥師自營,(02)27133405,臺北市松山區南京東路４段１３３巷５弄９號,臺北業務組,5,,,20260724,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,19950725,25.0513268,121.5582138
5901010094,明一藥局,藥師自營,(02)27691654,臺北市松山區南京東路５段５９巷２８弄２５號１樓,臺北業務組,5,,,20260820,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,AM10: ~~PM9:00,63000,19970601,25.0518277,121.5574266
5901010165,傑安藥局,藥師自營,(02)27524155,臺北市松山區八德路２段４３７巷７弄８號１樓,臺北業務組,5,,,20260215,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,9:30開始發號碼牌,63000,19960216,25.049158,121.5473081
5901010174,仁弘藥局,藥師自營,(02)27136764,臺北市松山區民生東路３段１１３巷２５弄６號１樓,臺北業務組,5,,,20261230,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,早上九點開始發放快篩.,63000,19961231,25.0575733,121.5398306
5901010192,益華藥局,藥師自營,(02)27624898,臺北市松山區民生東路５段１３８巷６號,臺北業務組,5,,,20260531,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,19950601,25.0584343,121.5556082
5901010272,德靈藥局,藥師自營,(02)27646998,臺北市松山區富錦街５４８號,臺北業務組,5,,,20260724,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,19950725,25.0617412,121.5666909
5901010290,健全藥局,藥劑生自營,(02)27128293,臺北市松山區民權東路３段１０３巷２０號,臺北業務組,5,,,20260820,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,19960821,25.0624386,121.5408718
5901010389,李得安藥局,藥劑生自營,(02)87871655,臺北市松山區民生東路５段３６巷８弄１１號１樓,臺北業務組,5,,,20261214,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,19970331,25.0584343,121.5556082
