公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,lat,lon
22555003,統一超商股份有限公司,18639,台北市第一一八六分公司,臺北市中正區汀州路三段180號,1,1140225,       ,25.0130196,121.5348497
22555003,統一超商股份有限公司,25358,台北市第一二四０分公司,臺北市大安區忠孝東路三段251巷2弄1號,1,1140106,       ,25.0421102,121.5415634
22555003,統一超商股份有限公司,49561,台北市第一二三九分公司,臺北市士林區美崙街114號,1,1131216,       ,25.0971213,121.5196829
22555003,統一超商股份有限公司,62493,台北市第一二三三分公司,臺北市中山區德惠街65、67、69、71號1樓,1,1131016,       ,25.0667322,121.5280879
22555003,統一超商股份有限公司,63916,台北市第一二三四分公司,臺北市內湖區東湖路114號,1,1131016,       ,25.0682114,121.6158387
22555003,統一超商股份有限公司,66456,台北市第一二三七分公司,臺北市松山區南京東路三段331號1樓,1,1131213,       ,25.0520702,121.547338
22555003,統一超商股份有限公司,66688,台北市第一二四七分公司,臺北市萬華區西園路一段80、82號1樓,1,1140318,       ,25.0392631,121.4997343
22555003,統一超商股份有限公司,71319,台北市第一一八五分公司,臺北市文山區和興路1、3、5號,1,1131219,       ,24.9853519,121.5488854
22555003,統一超商股份有限公司,108836,台北市第一二四一分公司,臺北市北投區公舘路230號,1,1140107,1140313,25.126236,121.507992
22555003,統一超商股份有限公司,121417,台北市第一一六六分公司,臺北市萬華區康定路154、156號1樓,1,1130827,       ,25.0396603,121.5017934
22555003,統一超商股份有限公司,135030,台北市第一一八三分公司,臺北市南港區園區街3號2樓之7,1,1130930,       ,25.0584861,121.6118825
22555003,統一超商股份有限公司,137353,台北市第一一八四分公司,臺北市文山區興隆路四段55號1樓,1,1131023,       ,24.9897132,121.5598745
22555003,統一超商股份有限公司,177740,台北市第一二四二分公司,臺北市松山區光復北路32號1樓,1,1140212,       ,25.0493273,121.5576315
22555003,統一超商股份有限公司,194213,台北市第一二三○分公司,臺北市萬華區興義街41、43號,1,1130828,       ,25.026524,121.4917546
22555003,統一超商股份有限公司,201299,台北市第一二三二分公司,臺北市中山區林森北路107巷83號1樓,1,1130913,       ,25.049815,121.5278708
22555003,統一超商股份有限公司,226263,台北市第一二三六分公司,臺北市萬華區大理街128之1、128之2號1樓,1,1131119,       ,25.0341071,121.4968645
22555003,統一超商股份有限公司,243565,台北市第一二三一分公司,臺北市松山區八德路三段74巷43號1樓,1,1130913,       ,25.0462579,121.5525599
22555003,統一超商股份有限公司,250018,台北市第一二三五分公司,臺北市松山區八德路四段147號,1,1131016,       ,25.0488088,121.5624313
22555003,統一超商股份有限公司,251332,台北市第一二三八分公司,臺北市中山區敬業一路56號1樓,1,1131213,       ,25.0816391,121.5528086
22555003,統一超商股份有限公司,1846195,台北市第一七０分公司,臺北市士林區文林路一六九號一樓,1,781127,       ,25.0950492,121.5246077
22555003,統一超商股份有限公司,16080140,台北巿第三四二分公司,臺北市松山區健康路224號１樓,1,860419,990901,25.0538091,121.5611158
