編號,據點名稱,行政區,里別,據點地址,電話,lat,lon
1,財團法人新北市基督教新希望教會(百齡長青),士林區,前港里,臺北市士林區前港里承德路4段190號4樓,0970-865525,25.0872006,121.5222819
2,台北市士林區天和社區發展協會,士林區,天山里,臺北市士林區天山里中山北路7段154巷6號4樓,0936-889263,25.1234101,121.5330596
3,財團法人台北市天母基督教會,士林區,天母里,臺北市士林區天母里天玉街63號,02-28714742,25.1220151,121.5307058
4,財團法人天主教遣使會-聖文生之友社區關懷據點,士林區,天山里,臺北市士林區天山里中山北路7段134號,02-28763236,25.1227884,121.5322519
5,臺北市三樂樂齡關懷協會,士林區,社園里,臺北市士林區社園里社中街226號1樓,0972-990917,25.0913621,121.5081024
6,臺北市士林區葫蘆里辦公處,士林區,葫蘆里,臺北市士林區葫蘆里葫蘆街137號,0958-972685,25.0838426,121.5086165
7,財團法人台北市中華基督教浸信會慈光堂,士林區,翠山里,臺北市士林區翠山里中社路1段43巷1號,0912-007084,25.1087676,121.5613135
8,社團法人中華悅齡長照關懷協會,士林區,福志里,臺北市士林區福志里雨農路92號之1(1樓社區教室B)臺北市士林區中山北路5段685號3樓之1,02-28327510,25.0997907,121.5328129
9,臺北市士林區德行里辦公處,士林區,德行里,臺北市士林區德行里德行西路30號,02-88662865,25.1054699,121.5234851
10,臺北市士林區葫東里辦公處,士林區,葫東里,臺北市士林區葫東里中正路589號1樓,0933-716265,25.0866496,121.5107238
11,臺北市士林區忠義社區發展協會,士林區,忠誠里,臺北市士林區忠誠里德行東路104巷9弄8號旁里民活動中心,02-28310943,25.1066967,121.5289939
12,臺北市士林區富光里辦公處,士林區,富光里,臺北市士林區富光里葫蘆街62號,02-28160879,25.08085,121.5087503
13,臺北市士林區福順里辦公處,士林區,福順里,臺北市士林區福順里延平北路5段136巷24號(福順里里民活動場所),02-28160989,25.0820854,121.5114478
14,財團法人臺北市松年長春社會福利基金會(士林),士林區,天山里,臺北市士林區天山里中山北路7段122號3樓,02-28723425,25.1224019,121.5321052
15,社團法人台北市士林全人關懷協會,士林區,福德里,臺北市士林區福德里中正路335巷9號&11號,0953-469293,25.0940496,121.5232797
16,台灣健康社區自主發展協會,士林區,三玉里,臺北市士林區三玉里德行東路203巷2號1樓,02-28369493,25.1092589,121.5322353
17,台北市劍橋有愛全人關懷協會,士林區,百齡里,臺北市士林區百齡里福港街244巷3號1樓臺北市士林區百齡里福港街244巷4號2樓,0918-090527,25.0842964,121.5172144
18,社團法人中華仁親社區關懷協會,士林區,義信里,臺北市士林區義信里基河路128號2樓,0956-885626,25.0885079,121.5233244
19,財團法人福智慈善基金會(天母),士林區,蘭興里,臺北市士林區蘭興里中山北路6段243號1樓,02-28382503#0,25.1092337,121.5251501
20,臺北市士林區芝山岩社區發展協會,士林區,名山里,臺北市士林區名山里雨聲街68號(芝山岩區民活動中心),0911-328596,25.1036648,121.5288741
21,財團法人台北市華夏婦女文教基金會,士林區,岩山里,臺北市士林區岩山里至誠路1段62巷28號,02-28318025,25.1010597,121.5372188
22,臺北市士林區幸福名山社區發展協會,士林區,名山里,臺北市士林區名山里雨聲街68號(芝山岩區民活動中心),0932-353435,25.1036648,121.5288741
23,財團法人台灣聖公會(牧愛堂),士林區,後港里,臺北市士林區後港里中正路511號,02-28816317,25.0913588,121.5174651
24,財團法人臺北市現代悅齡社會福利基金會,士林區,福佳里,臺北市士林區福佳里華聲街17號5樓,02-27565010,25.096592,121.5225494
25,台北海洋學校財團法人台北海洋科技大學,士林區,富洲里,臺北市士林區富洲里延平北路9段212號,0955-907688,25.1081747,121.471137
26,臺北市士林海光社區發展協會,士林區,富光里,臺北市士林區富光里葫蘆街86號1樓,0953-022989,25.0818787,121.5083523
27,臺北市士林區東山里辦公處,士林區,東山里,臺北市士林區東山里士東路320巷2號1樓,0986-666969,25.113504,121.538604
28,臺北市天母全人關懷協會,士林區,天玉里,臺北市士林區天玉里中山北路7段81巷7號B2樓,02-28746222,25.1217666,121.5303175
29,財團法人陽明山基督教天母禮拜堂,士林區,天母里,臺北市士林區天母里中山北路7段216巷1號,02-28711622#25,25.1258702,121.5330052
30,天主教耕莘醫療財團法人永和耕莘醫院(大龍老人住宅),大同區,至聖里,臺北市大同區至聖里民族西路105號4樓及4樓之1,02-66178186,25.0687846,121.5170522
31,臺北市大同區大有里辦公處,大同區,大有里,臺北市大同區大有里民樂街115號1樓,02-25577229,25.057481,121.510681
32,社團法人中華國際照顧發展協會,大同區,南芳里,臺北市大同區南芳里迪化街1段296號,02-25505567 0910-381106,25.0609526,121.5094186
33,社團法人中華萌愛關懷協會,大同區,蓬萊里,臺北市大同區蓬萊里承德路3段60號B1,02-25931138,25.0653101,121.5180203
34,臺北市大同區玉泉里辦公處,大同區,玉泉里,臺北市大同區玉泉里西寧北路11號,0979-305833,25.0523116,121.5086659
35,社團法人中華視障安養福利協會,大同區,隆和里,臺北市大同區隆和里伊寧街37號1樓,02-25952872,25.0647371,121.5122298
36,財團法人臺北市松年長春社會福利基金會(大橋),大同區,景星里,臺北市大同區景星里迪化街2段65號、67號1樓,02-25974784,25.064832,121.5094468
37,財團法人台北市建成基督長老教會,大同區,建泰里,臺北市大同區建泰里承德路1段77巷29號1樓,02-25580685,25.0521949,121.5202958
38,社團法人中華無齡酷活協會,大同區,保安里,臺北市大同區保安里重慶北路3段313巷25號2樓,0914-000083,25.0742327,121.5149002
39,臺北市大同區圓環社區發展協會,大同區,建功里,臺北市大同區建功里重慶北路1段83巷37號,0935-604700,25.0495802,121.5136357
40,財團法人一粒麥子社會福利慈善事業基金會,大同區,光能里,臺北市大同區光能里承德路2段33之1號1樓、33號2樓,02-23320669#12,25.0546795,121.5184019
41,臺北市大同區柴寮仔社區發展協會,大同區,民權里,臺北市大同區民權里民權西路172號1樓,0932-844756,25.062729,121.5150317
42,臺北市大同區慶安社區發展協會,大同區,重慶里,臺北市大同區重慶里敦煌路90號1樓臺北市大同區重慶里敦煌路92號1樓,0931-101838,25.0758656,121.5169613
43,社團法人台北市歐伊寇斯OIKOS社區關懷協會,大同區,永樂里,臺北市大同區永樂里延平北路2段60巷2號,02-25588896#633,25.055393,121.5115213
44,臺北市大同信望愛關懷協會(門諾),大同區,至聖里,臺北市大同區至聖里重慶北路3段223巷43、45、47號,0917-899289,25.0705638,121.5155384
45,台北市朝陽服飾材料街區發展協會,大同區,朝陽里,臺北市大同區朝陽里重慶北路2段46巷6號,0936-229268,25.0552017,121.5138158
46,臺北市大同區隆和里辦公處,大同區,隆和里,臺北市大同區隆和里景化街46號,0922-799261,25.0650578,121.5125801
47,財團法人福智慈善基金會(安和據點),大安區,光信里,臺北市大安區光信里信義路4段265巷21弄3號1樓,02-27015861,25.0344478,121.5546889
48,臺北市大安區民炤里辦公處,大安區,民炤里,臺北市大安區民炤里信義路3段31巷5號15-1號1樓;新生南路1段157巷19號3樓,02-27008406,25.0341435,121.5347259
49,臺北市大安區法治里辦公處,大安區,法治里,臺北市大安區法治里通化街192號,0980-403536,25.0261602,121.5529248
50,臺北市大安區群英里辦公處,大安區,群英里,臺北市大安區群英里四維路198巷30弄9號1樓:198巷38弄2、4、8號1樓;198巷42、44號,0911-598530,25.026519,121.5458646
51,社團法人中華民國香柏樹長者社區關懷協會(台電),大安區,大學里,臺北市大安區大學里羅斯福路3段275號3樓,0928-551924,25.0183858,121.5309527
52,社團法人台灣喜樂家族協會(大安),大安區,仁愛里,臺北市大安區仁愛里忠孝東路4段126-19號7樓,0908-807938,25.0414432,121.5441092
53,臺北市大安區新民炤社區發展協會,大安區,民炤里,臺北市大安區民炤里建國南路1段286巷35號1樓、48號1樓,02-27012389,25.0345817,121.5382079
54,財團法人成長文教基金會,大安區,仁慈里,臺北市大安區仁慈里東豐街1號2樓,02-27000657,25.0361475,121.5438732
55,臺北市長立健康樂活協會,大安區,龍陣里,臺北市大安區龍陣里瑞安街75號3樓,0958-918669,25.0281919,121.5411768
56,中華民國紅十字會台灣省分會(新生),大安區,龍坡里,臺北市大安區龍坡里新生南路3段20-1號4樓,02-23630098,25.0242363,121.534439
57,社團法人台灣愛鄰社區服務協會,大安區,龍門里,臺北市大安區龍門里新生南路3段11巷15號1樓、3樓,02-23623022#8713,25.0251767,121.5366951
58,社團法人台灣厝邊有愛關懷協會(台北和平),大安區,龍安里,臺北市大安區龍安里和平東路1段183巷9號1樓;11弄1號1樓,02-23510087#201,25.0263477,121.5330343
59,臺北市大安區錦泰里辦公處,大安區,錦泰里,臺北市大安區錦泰里杭州南路2段61巷6號1樓;杭州南路2段65巷10號1樓,02-23918123,25.0297071,121.5227893
60,臺北市大安區錦町社區發展協會,大安區,錦安里,臺北市大安區錦安里潮州街130巷3號1樓;永康街60號4樓,0928-494909,25.0285555,121.527565
61,臺北市大安區住安社區發展協會,大安區,住安里,臺北市大安區住安里信義路4段30巷27弄24號1、2樓,02-27550387,25.0321507,121.545737
62,社團法人中華民國香柏樹長者社區關懷協會(台大),大安區,大學里,臺北市大安區大學里新生南路3段86號4樓、8樓、9樓,0988-790144,25.0186006,121.5331196
63,財團法人台北市城東基督長老教會,大安區,建倫里,臺北市大安區建倫里安和路1段45號1樓、43號2樓、47號3樓,02-27711282,25.039561,121.5505587
64,社團法人中華生命關愛協會,大安區,芳和里,臺北市大安區芳和里和平東路3段212巷12號,0922-407837,25.026482,121.533964
65,臺北市大安區永康里辦公處,大安區,永康里,臺北市大安區永康里金華街199巷3弄6號1樓,0931-234954,25.030536,121.528429
66,臺北市大安區大學里辦公處,大安區,大學里,臺北市大安區大學里溫州街74巷2弄4號1樓、新生南路3段86號,02-23622674,25.0199543,121.5327674
67,臺北市大安區龍陣里辦公處,大安區,龍陣里,臺北市大安區龍陣里瑞安街75號3樓,0958-918669,25.0281919,121.5411768
68,財團法人台灣基督長老教會大安教會,大安區,群賢里,臺北市大安區群賢里和平東路3段1巷51號,0939-431678,25.026482,121.533964
69,社團法人臺北市永健長青促進協會,大安區,龍陣里,臺北市大安區龍陣里瑞安街71巷5弄1號1樓;瑞安街75號3樓;新龍里信義路3段134巷82號2樓,0932-384519,25.0281623,121.5416701
