編號,屬性,機構名稱,區域別,地址,電話,收容對象,核定床數-核定總床位數,核定床數-長照床數,核定床數-養護床數,核定床數-失智床數,核定床數-安養床數,lat,lon
1,私立,臺北市私立上美老人長期照顧中心(養護型),士林區,臺北市士林區重慶北路4段162號1-4樓,02-28122366,養護,33,0,33,0,0,25.084122,121.512167
2,公設民營,臺北市至善老人安養護中心,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,02-28832666,安養養護長照  ,471,124,194,0,153,25.101902,121.5432472
3,私立,臺北市私立璞園老人長期照顧中心(養護型),士林區,臺北市士林區富光里010鄰葫蘆街33號4、5、6樓,02-28163696,養護,46,0,46,0,0,25.0799749,121.5097225
4,私立,臺北市私立永青老人長期照顧中心(養護型),士林區,臺北市士林區天壽里003鄰中山北路6段427巷8號1~4樓,02-28761908,養護長照,31,13,18,0,0,25.1143092,121.5265851
5,私立,臺北市私立祇福老人養護所,士林區,臺北市士林區三玉里016鄰忠誠路2段10巷11、13號1~2樓,02-28317713,養護,39,0,39,0,0,25.1088765,121.5293841
6,私立,臺北市私立荷園老人長期照顧中心(養護型),士林區,臺北市士林區富光里010鄰葫蘆街33號2~3樓,02-28163696,養護,39,0,39,0,0,25.0799818,121.509688
7,私立,臺北市私立柏安老人養護所,士林區,臺北市士林區蘭雅里 024鄰 中山北路6段290巷52、54號1樓,02-28333536,養護,20,0,20,0,0,25.1087207,121.5274088
8,私立,臺北市私立松園老人長期照顧中心(養護型),士林區,臺北市士林區蘭雅里 020鄰德行東路61巷1、2、3號1~2樓,02-88662097,養護,49,0,49,0,0,25.1076367,121.5268131
10,私立,臺北市私立慧光老人養護所,大同區,臺北市大同區星明里 014鄰寧夏路32 號5樓,02-25582275,養護,40,0,40,0,0,25.0559543,121.5151416
11,私立,臺北市私立敦煌老人長期照顧中心(養護型),大同區,臺北市大同區重慶里014鄰敦煌路80巷3號及3-1號1樓,02-25945133,養護,29,0,29,0,0,25.0748879,121.5174742
12,私立,臺北市私立祥安尊榮老人長期照顧中心(養護型),大同區,臺北市大同區國順里008鄰延平北路3段4號2樓,02-25860098,養護,47,0,47,0,0,25.063466,121.5110596
13,私立,臺北市私立永安老人養護所,大同區,臺北市大同區老師里008鄰重慶北路3段284號2~4樓、286號1~4樓,02-25980197,養護,49,0,49,0,0,25.0731305,121.5135814
14,私立,臺北市私立德寶老人養護所,大同區,臺北市大同區建明里002鄰長安西路78巷4弄11號1~4樓,02-25522062,養護,28,0,28,0,0,25.0500791,121.5185891
15,私立,臺北市私立仁家老人長期照顧中心(養護型),大同區,臺北市大同區延平里001鄰甘州街55號5~6樓,02-25530799,養護,49,0,49,0,0,25.0597434,121.5128735
16,私立,臺北市私立建順老人長期照顧中心(養護型),大同區,臺北市大同區延平里001鄰甘州街55號3樓,02-25520199,養護,30,0,30,0,0,25.059955,121.5128768
17,私立,臺北市私立建興老人長期照顧中心(養護型),大同區,臺北市大同區延平里001鄰甘州街55號2樓,02-25520199,養護,31,0,31,0,0,25.0597434,121.5128735
18,私立,臺北市私立晉安老人長期照顧中心(養護型),大同區,臺北市大同區至聖里032鄰重慶北路3段175、177號1~4樓,02-2598230102-25982401,養護,49,0,49,0,0,25.0690389,121.514
19,私立,臺北市私立祥寶尊榮老人長期照顧中心(養護型),大同區,臺北市大同區建泰里019鄰太原路97巷4、6號,02-25501118,養護,49,0,49,0,0,25.0520956,121.5160523
20,私立,臺北市私立天恩老人長期照顧中心(養護型),大安區,臺北市大安區龍門里008鄰新生南路3段7-4號、9-4號、9-5號,02-23620457 02-23634382,養護,48,0,48,0,0,25.0210974,121.5339113
21,私立,臺北市私立新常安老人長期照顧中心(養護型),大安區,臺北市大安區黎孝里006鄰安居街46巷14號1~3樓及芳和里 013鄰 和平東路3段228巷39號2樓,02-23775448,養護,39,0,39,0,0,25.0206255,121.5535438
22,私立,臺北市私立健全老人長期照顧中心(養護型),大安區,臺北市大安區錦華里001鄰金山南路2段152號2、3、5、6樓,02-23943265~6,養護長照,47,9,38,0,0,25.028732,121.5261222
23,私立,臺北市私立嘉恩老人長期照顧中心(養護型),大安區,臺北市大安區黎孝里008鄰安居街27號4、6樓及29號4、5樓,02-27371330,養護,43,0,43,0,0,25.0205936,121.5546213
24,私立,臺北市私立康寧老人長期照顧中心(養護型),大安區,臺北市大安區光信里020鄰仁愛路4段300巷20弄15號2樓、17號2樓,02-27053835,養護,30,0,30,0,0,25.036636,121.5544388
25,私立,臺北市私立上上老人養護所,大安區,臺北市大安區仁慈里009鄰復興南路1段279巷14、16號1樓,02-27032223,養護,15,0,15,0,0,25.0367328,121.5433687
26,私立,臺北市私立晨欣老人長期照顧中心(養護型),中山區,臺北市中山區集英里006鄰中山北路2段96巷19號3樓,02-25212226,養護,27,0,27,0,0,25.0599038,121.5219731
27,私立,臺北市私立松湛園老人養護所,中山區,臺北市中山區聚盛里003鄰錦州街4巷1號2樓、2樓之1,02-25652281,養護,37,0,37,0,0,25.0599663,121.5235476
28,私立,臺北市私立松青園老人養護所,中山區,臺北市中山區民安里021鄰民生西路30號2樓、2樓之1~4,02-25110903,養護,29,0,29,0,0,25.057648,121.5216389
29,私立,臺北市私立法泉老人長期照顧中心(養護型),中山區,臺北市中山區朱崙里012鄰八德路2段251號2樓,02-87731706,養護,39,0,39,0,0,25.0470198,121.5413036
30,私立,臺北市私立龍江老人長期照顧中心(養護型),中山區,臺北市中山區力行里007鄰長安東路1段63號4樓,02-25672208,養護,37,0,37,0,0,25.0480783,121.5284439
31,私立,臺北市私立仁群老人長期照顧中心(養護型),中山區,臺北市中山區下埤里019鄰民族東路512巷14號1~2樓、16號2樓,02-25013369,養護,48,0,48,0,0,25.0673684,121.5418607
32,私立,臺北市私立群仁老人長期照顧中心(養護型),中山區,臺北市中山區下埤里019鄰民族東路512巷14號3~5樓,02-25010048,養護,42,0,42,0,0,25.0673799,121.541763
33,私立,臺北市私立福成老人長期照顧中心(養護型),中山區,臺北市中山區新福里004鄰松江路374、380、382號4樓,02-25982507,養護,29,0,29,0,0,25.0631395,121.5328467
34,私立,臺北市私立福喜老人長期照顧中心(養護型),中山區,臺北市中山區松江路374、380、382號7樓,02-25919087,養護,29,0,29,0,0,25.0631395,121.5328467
35,私立,臺北市私立仁泰老人長期照顧中心(養護型),中正區,臺北市中正區三愛里001鄰連雲街3號1、3樓、3之4號及三愛里001鄰新生南路1段124之3號5樓,02-33931662,養護,31,0,31,0,0,25.0376327,121.5323168
36,私立,臺北市私立博愛老人長期照顧中心(養護型),中正區,臺北市中正區富水里001鄰汀州路3段56號2樓,02-23671050  02-23671819,養護,41,0,41,0,0,25.015778,121.530931
37,私立,臺北市私立大園老人長期照顧中心(養護型),中正區,臺北市中正區三愛里001鄰新生南路1段124之3號1~4樓,02-33931661,養護,34,0,34,0,0,25.0375474,121.5325131
38,私立,臺北市私立銀髮族老人養護所,內湖區,臺北市內湖區成功路2段488號2~5樓、490號2樓、4樓,02-27926006,養護,46,0,46,0,0,25.0732653,121.5896865
39,私立,臺北市私立童音老人長期照顧中心(養護型),內湖區,臺北市內湖區葫洲里004鄰民權東路6段280巷19弄1、3、5、7號1樓,02-26345131 02-26345132,養護長照,37,5,32,0,0,25.07122,121.60607
40,私立,臺北市私立湖濱老人長期照顧中心(養護型),內湖區,臺北市內湖區湖濱里010鄰內湖路2段179巷58、60號1樓,02-27933081,養護,18,0,18,0,0,25.0829394,121.5867951
41,私立,臺北市私立瑞安老人長期照顧中(養護型),內湖區,臺北市內湖區紫陽里002鄰成功路3段88、90、92號2樓、76巷9號2樓,02-27925292,養護,33,0,33,0,0,25.0786963,121.5893509
42,私立,臺北市私立祥家老人養護所,內湖區,臺北市內湖區湖濱里026鄰內湖路2段253巷1弄1.3號1-2樓,02-27922281,養護,46,0,46,0,0,25.0825508,121.5897291
43,私立,臺北市私立文德老人長期照顧中心(養護型),內湖區,臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓,02-26581303,養護,31,0,31,0,0,25.0764092,121.5862251
45,私立,臺北市私立景安老人長期照顧中心(養護型),文山區,臺北市文山區景慶里001鄰溪口街1巷5號1~2樓,02-29325698,養護,41,0,41,0,0,24.994049,121.539867
46,私立,臺北市私立心慈老人養護所,文山區,臺北市文山區興業里022鄰辛亥路5段120-1號1~4樓,02-29314730,養護,22,0,22,0,0,24.997484,121.5521388
47,私立,臺北市私立慧誠老人長期照顧中心(養護型),文山區,臺北市文山區木柵里025鄰木柵路2段163、165號1~5樓,02-29392222,養護,48,0,48,0,0,24.9889797,121.5638861
48,私立,臺北市私立蓮馨老人長期照顧中心(養護型),文山區,臺北市文山區萬和街6號8樓,02-82300373,養護,29,0,29,0,0,25.0019013,121.5672934
49,私立,臺北市私立慈安老人長期照顧中心(養護型),文山區,臺北市文山區萬有里001鄰興隆路1段2、4號1~4樓,02-29337745,養護,47,0,47,0,0,24.999017,121.5453128
