序號,機構名稱,服務區別,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,居家式短照服務(SC09),lat,lon
1,松德長照事業有限公司附設臺北市私立松德居家長照機構,全區,10342,臺北市大同區西寧北路112號2樓之4,02-2550-7869,楮小姐,V,25.0561016,121.5088671
2,逸居股份有限公司附設臺北市私立幸福時光居家長照機構,全區,10650,臺北市大安區永康街75巷1號1樓,02-7705-8110 轉108,劉小姐,V,25.028975,121.53001
3,育和有限公司附設臺北市私立育和居家長照機構,大安區、中山區、中正區、大同區、萬華區、士林區,10356,臺北市大同區寧夏路23-1號2樓202室,02-6605-0835#601,陳先生,,25.0551446,121.5151505
4,社團法人台灣多元社會福利協會私立多福居家長照機構,中山區、大同區、內湖區、士林區、北投區,112001,臺北市北投區溫泉路68-10號,02-2892-1099,陳先生,V,25.134963,121.504925
5,芋潁顧問有限公司附設臺北市私立芋穎居家長照機構,"松山區、信義區,大安區、中山區、中正區、大同區、萬華區、文山區、內湖區、士林區、北投區",10482,臺北市中山區建國北路3段94號2樓(D210室),02-25080383,胡小姐,V,25.0665964,121.5341811
6,臺北市私立愛家居家長照機構,全區,10471,臺北市中山區新生北路三段87巷23號1樓,02-2596-6934,黃小姐,V,25.0674443,121.5288631
7,臺北市私立前瞻居家長照機構,全區,11693,臺北市文山區興昌里辛亥路4段21巷10號9樓,02-89312545,楊小姐,V,25.0088246,121.558983
8,臺北市私立樂陽居家長照機構,全區,111045,臺北市士林區士商路110號1樓,02-7751-6063,陳先生,V,25.0919535,121.5188272
9,樂昱有限公司附設臺北市私立樂昱居家長照機構,全區,112031,臺北市北投區文林北路262號2樓,02-2822-5423,黃先生,V,25.1091403,121.5133503
11,臺北市私立仁群居家長照機構,松山區、中山區、大同區,10474,臺北市中山區民族東路512巷12號1樓,02-2501-6299,蔡先生,V,25.0675025,121.5419841
12,天勤健康生活事業有限公司附設臺北市私立天勤居家長照機構,全區,106695,臺北市大安區復興南路2段65號6樓之5,02-7752-2272,尹先生,V,25.0304689,121.5436742
13,臺北市私立安歆居家式服務類長期照顧服務機構,全區,10456,臺北市中山區松江路50號3樓,02-2537-2586,程小姐,V,25.048168,121.5327222
14,有限責任臺灣第二照顧服務勞動合作社附設臺北市私立二顧居家長照機構,全區,100041,臺北市中正區羅斯福路一段102號8樓,02-2552-7608,葉小姐,V,25.0298741,121.5199943
15,恩揚有限公司附設臺北市私立恩揚居家長照機構,大安區、文山區、松山區及中正區,11681,臺北市文山區羅斯福路五段225之1號1樓,02-2930-1999,楊先生,V,25.0019881,121.5393212
16,嘉陞健康事業股份有限公司附設臺北市私立嘉陞居家長照機構,全區,103046,臺北市大同區民權西路136號15樓之3,02-2557-8236,黃先生,V,25.0626752,121.5160296
19,財團法人私立廣恩老人養護中心附設臺北市私立松山健康社區長照機構,全區,105030,臺北市松山區健康路225巷11號1樓,02-2756-8777,劉先生,V,25.0545344,121.5622615
20,聖照股份有限公司附設臺北市私立邦寧居家長照機構,全區,110604,臺北市信義區信義路4段375號6樓之6,02-2758-2106,洪小姐,V,25.0333242,121.5579077
21,財團法人老五老基金會附設臺北市私立老五老居家式服務類長期照顧服務機構,士林區、北投區,112053,臺北市北投區石牌路一段14號3樓,02-2821-2959 轉16 0932-255-106,王小姐,V,25.1126848,121.5097867
22,耆康實業有限公司附設臺北市私立小太陽居家長照機構,全區,10582,臺北市松山區三民路35巷9號2樓,02-2742-0058,陳小姐,V,25.0551954,121.5624655
23,臺北市私立跑居家長照機構,士林區、北投區、大同區、中山區、松山區、中正區及萬華區,11164,臺北市士林區重慶北路四段250號3樓313室,02-2816-1255#603 0986-088-028,張小姐,V,25.0866681,121.5114271
24,臺北市私立安民居家長照機構,士林區、北投區,11163,臺北市士林區文林路342號7樓K711室,02-2883-4074,黃先生,V,25.0932892,121.5254345
25,凱風長照股份有限公司附設臺北市私立凱風新生北綜合長照機構,全區,104039,臺北市中山區新生北路三段56巷17號1樓,02-2599-6681,李小姐,V,25.0654369,121.5269464
26,社團法人台灣喜樂家族協會附設臺北市私立冠冕居家長照機構,全區,111044,臺北市士林區雙溪街140號1樓,0986-899-395,陳小姐,V,25.1004677,121.5244328
27,盤古銀髮股份有限公司附設臺北市私立家倍安居家長照機構,士林區、大同區、中正區、萬華區、中山區,10361,臺北市大同區民權西路118巷12號1樓,02-2553-9586,江先生,V,25.0622621,121.5168051
28,喜樂園長照股份有限公司附設臺北市私立喜樂園居家長照機構,全區,10561,臺北市松山區八德路四段123號2樓之4,02-2760-2270,林小姐,V,25.0487599,121.561735
29,社團法人台北市家庭照顧者關懷協會附設臺北市私立家協居家式服務類長期照顧服務機構,全區,10674,臺北市大安區和平東路3段232號3樓,02-2739-8737,劉小姐,V,25.02644,121.5332197
30,愛護家健康事業股份有限公司附設臺北市私立愛護家居家長照機構,全區,104029,臺北市中山區中山北路3段31號7樓之1,02-2599-5665,林小姐,V,25.0656757,121.5224864
31,社團法人中華長照協會附設臺北市私立永樂居家長照機構,松山區、信義區、大安區、中正區、大同區、文山區,11680,臺北市文山區羅斯福路六段134號2樓,02-2930-6919,楊先生,V,24.9969315,121.5406851
32,北醫大管理顧問股份有限公司附設私立君蔚居家長照機構,信義區、大安區,110007,台北市信義區信義路4段375號4樓之7,02-2345-5288 0913-611-031,李小姐,V,25.0332856,121.5578319
33,臺北市私立喜宇居家長照機構,全區,105057,臺北市松山區八德路4段678號6樓之1,02-2756-0018,林先生,V,25.0499475,121.576443
34,耀生長期照顧服務股份有限公司附設臺北市私立耀生居家長照機構,松山區、信義區、大安區、中山區、中正區、大同區、萬華區、內湖區、士林區,10046,臺北市中正區懷寧街112號6樓、6樓之1,02-23932500,姚先生,V,25.0416621,121.5138938
