序號,機構名稱,服務區別,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,GA03,GA04,GA06,SC03,SC04,SC06,lat,lon
1,臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理民生身障社區長照機構(日間照顧),全區,105013,臺北市松山區民生東路五段163-1號7樓,02-2760-9605#14,陳小姐,V,,V,V,,V,25.0593151,121.5629083
2,社團法人台灣認知功能促進協會附設臺北市私立敬智學苑社區長照機構,全區,114030,臺北市內湖區新明路22號2樓,02-2790-0907,謝小姐,V,V,,V,V,,25.0603327,121.5905378
3,臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構(日間照顧),全區,10444,臺北市中山區長安西路5巷2號4樓,02-2521-1032,張小姐,V,V,V,V,V,V,25.0504365,121.5208104
4,財團法人私立廣恩老人養護中心附設臺北市私立松山健康社區長照機構,全區,105030,臺北市松山區健康路225巷11號1樓,02-2756-8777,劉先生,V,V,V,V,V,V,25.0545344,121.5622615
5,臺北市政府社會局委託財團法人臺北市喜樂家族社會福利基金會經營管理大龍峒身障社區長照機構(日間照護),全區,103250,臺北市大同區重慶北路三段320號3、4樓,02-2592-2581,李小姐,V,V,,V,V,,25.0753349,121.5135337
6,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,全區,10867,臺北市萬華區德昌街125巷11號,02-2304-6716 #108,吳小姐,V,V,,V,V,,25.0238781,121.4969354
7,凱風長照股份有限公司附設臺北市私立凱風民權社區長照機構,全區,104078,臺北市中山區民權東路三段21號2樓之1及之2,02-2508-0810,鄭小姐,V,V,,V,V,,25.0625757,121.5416693
8,凱風長照股份有限公司附設臺北市私立凱風大直社區長照機構,全區,10462,臺北市中山區樂群三路56號5樓之2,02-8501-1716,蘇小姐,V,V,,V,V,,25.0824242,121.5527381
9,凱風長照股份有限公司附設臺北市私立凱風新生北綜合長照機構,全區,104039,臺北市中山區新生北路三段56巷17號1樓,02-2599-6681,李小姐,V,V,,V,V,,25.0654369,121.5269464
10,花甲樂股份有限公司附設臺北市私立文山花甲樂社區長照機構,全區,11691,臺北市文山區景興路222號1樓,02-2930-2806,郭社工,V,V,,V,V,,24.9911581,121.5434021
11,圓石實業股份有限公司附設臺北市私立內湖圓石社區長照機構,全區,114708,臺北市內湖區民權東路6段180巷6號8樓,02-2790-2090,王小姐,V,V,,V,V,,25.0682322,121.5923833
12,臺北市私立安歆松江社區長照機構,全區,10456,臺北市中山區松江路50號3樓A室,02-2537-1116,黃社工師,V,V,,V,V,,25.0481704,121.5327639
13,圓石實業股份有限公司附設臺北市私立大同圓石社區長照機構(小規機),全區,10344,臺北市大同區永樂里延平北路2段96號3樓,02-2558-3800,侯小姐,V,V,V,V,V,V,25.0563621,121.5112171
14,圓石責業股份有限公司附設臺北市私立大稻埕圖石社區長照機構,全區,10344,臺北市大同區延平北路2段96號3樓之1,02-2558-6900,王小姐,V,V,,V,V,,25.0563621,121.5112171
15,喧悅長照有限公司附設臺北市私立喧悅永安社區長照機構,全區,116010,臺北市文山區永安街6巷11號1樓,02-2365-9991,莊小姐,V,V,,V,V,,24.9871072,121.5695984
