收費標準,機構類別,機構名稱,電話,地址,lat,lon
自費,機構式,癒健物理治療所,0233936068,106.0臺北市大安區金山南路二段146號3樓,25.0290734,121.5262015
健保,居家式,暐淩居家物理治療所,0932798813,100.0臺北市中正區重慶南路一段57號11樓之6,25.0446169,121.513388
自費,機構式,夢飛翔物理治療所,0223222223,100.0臺北市中正區羅斯福路一段94號2樓,25.0300516,121.5199241
自費,機構式,脊姿維運動物理治療所,0916009797,100.0臺北市中正區金山南路一段67巷10號,25.0378381,121.5288886
自費,機構式,維衡物理治療所,0919709611,104.0臺北市中正區衡陽路20號7樓,25.0420781,121.5130691
自費,機構式,賦爾力物理治療所,0223931698,104.0臺北市中正區金山南路一段73巷1之1號,25.037119,121.5285342
自費,機構式,康睿物理治療所,0978290209,104.0臺北市中山區建國北路1段148號5樓,25.0521905,121.5372233
自費,機構式,展岳物理治療所,0285026290,104.0臺北市中山區敬業一路128巷30號1樓,25.0832009,121.5534131
自費,居家式,永鑫物理治療所,0223962222,115.0臺北市南港區八德路四段885號3樓,25.0508959,121.5805918
自費,機構式,脊聲動物理治療所,0277306339,104.0臺北市中正區南昌路2段222號11樓之2,25.023787,121.5245218
自費,機構式,阿舟物理治療所,0931067265,104.0臺北市中正區桃源街1號8樓之3,25.0420992,121.5106214
自費,機構式,挺立康物理治療所,0277136066,100.0臺北市中正區忠孝西路一段33號3樓,25.0461218,121.5187494
自費,機構式,碩康物理治療所,0225598654,103.0臺北市大同區長安西路301之1號,25.0523176,121.5078194
自費,機構式,森暉物理治療所,0222501516,103.0臺北市大同區民權西路106號3樓,25.0626328,121.5175257
自費,機構式,歐首物理治療所,0225182567,104.0臺北市中山區長春路257號3樓,25.0547562,121.5406323
自費,機構式,勁緻物理治療所,0285025822,104.0臺北市中山區樂群三路71號2樓,25.0828753,121.5532109
自費,居家式,適悅物理治療所,0225080773,104.0臺北市中山區龍江路114巷1號3樓之1,25.0532334,121.5401962
自費,機構式,三個字物理治療所,0918018250,104.0臺北市中山區天祥路33巷12號,25.0613334,121.5214441
自費,機構式,攀躍物理治療所,0225996901,104.0臺北市中山區德惠街17號6樓,25.066822,121.5261417
自費,機構式,愛迪樂物理治療所,0980230221,104.0臺北市中山區民生東路二段127巷19號,25.059702,121.5323626
自費,居家式,旺得福居家物理治療所,0228113890,104.0臺北市中山區民權西路20號10樓之11,25.062575,121.521715
自費,機構式,奇癒物理治療所,0225924663,104.0臺北市中山區德惠街2號11樓,25.0664044,121.5231983
