序號,機構名稱,服務區域,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,CA07,CA08,CB01,CB02,CB03,CB04,CC01,CD02,lat,lon
12,好朋友居家職能治療所,全區,10452,臺北市中山區撫順街25號9樓之4,02-8913-6000 0931-122-238,陳先生,V,V,V,V,V,V,V,,25.0637385,121.5202954
17,大心居家職能治療所,全區,11152,臺北市士林區中山北路六段754巷22-1號5樓,0917-500-935 02-7751-8057,洪小姐,V,V,V,V,V,V,,,25.1144848,121.529065
18,沐晨職能治療所,全區,11477,臺北市內湖區安泰街125巷19號5樓,0910-844-652 0975-266-607,徐小姐,V,V,V,V,V,V,,,25.0770092,121.6171933
28,壽合居家職能治療所,全區,11697,臺北市文山區興隆路三段221巷4弄14號4樓,0933-004-397 02-2425-1889,吳先生,V,V,V,V,V,V,,,24.9936947,121.5601244
31,荃能職能治療所,全區,10585,臺北市松山區寶清街89巷46號,0928-610-797,溫小姐,V,V,,V,V,V,V,,25.0523022,121.5692498
40,與樂職能治療所,松山區、信義區、大安區、中山區、南港區、內湖區、士林區、北投區,11577,臺北市南港區八德路四段881號2樓,02-3762-2208 0937-314-408,陳小姐,V,V,V,V,V,V,V,,25.0508597,121.5804735
43,新康居家職能治療所,內湖區、南港區、松山區、大安區、信義區、文山區、士林區、中正區、大同區、中山區,11164,臺北市士林區重慶北路四段248號(305室),0958-629-789,侯小姐,V,V,V,V,V,V,V,,25.0866321,121.5114181
55,好生活居家職能治療所,全區,10491,臺北市中山區中山北路三段25之12號(1樓128室),0956-041-598,曾小姐,V,V,V,V,V,V,V,,25.0645277,121.5226876
64,愛迪樂居家職能治療所,全區,11582,臺北市南港區福德街373巷5號15樓,02-2601-2377,鍾小姐,V,V,V,V,V,V,,,25.040342,121.591243
72,樂親居家職能治療所,全區,108022,臺北市萬華區和平西路三段396號1樓106室,0971-119-909,林小姐,V,V,V,V,V,V,V,,25.0353256,121.4908656
73,暖時光職能治療所,全區,104097,臺北市中山區長安東路二段131之2號1樓,02-27972225 0938-909-659,許先生,V,V,,V,V,V,V,,25.0485066,121.5362983
85,寶珠職能治療所,全區,106053,臺北市大安區通化街140巷17號2樓,02-2732-9012,吳小姐,V,V,V,V,V,V,V,,25.029171,121.5533256
