序號,縣市別,鄉/鎮/市/區,服務村里,申請單位名稱,地址,聯絡人,電話,"服務起始日
(核定日期)",lat,lon
1,臺北市,中山區,中央里;,臺北市中山區中央里民社區發展協會,臺北市中山區中央里伊通街125巷11-1號1樓,鄭喬文,0972-295633,,25.0540927,121.535417
2,臺北市,中山區,大直里;,社團法人臺北市中山區大直社區發展協會,臺北市中山區大直里大直路21巷1號4樓(大直第一區民活動中心)及臺北市大直街39巷3號1,陳怡靜,02-25329522 / 0916780645,,25.082582,121.546735
3,臺北市,中山區,康樂里;,財團法人台北市台北中華基督教會(公理堂),臺北市中山區康樂里中山北路2段45巷39號,張正忠,02-25118021,107/11/12,25.0545129,121.5249793
4,臺北市,中山區,行政里;,臺北市中山區行政里辦公處,臺北市中山區行政里民權東路2段135巷20弄18號1樓,鄭崇甫,0915-560-921,,25.0621287,121.5375231
5,臺北市,中山區,,臺北市中山區永安里辦公處,臺北市中山區永安里明水路389號,唐楷瀚,0910-857885,,25.0776146,121.5465074
6,臺北市,中山區,永安里;劍潭里;大直里;金泰里;北安里;圓山里,社團法人臺北市生命樹健康關懷協會,臺北市中山區永安里北安路458巷41弄50號,蔡雅欣,0932314995,,25.0789041,121.5465332
7,臺北市,中山區,行仁里;,財團法人臺北市松年長春社會福利基金會(中山),臺北市中山區行仁里龍江路318巷7號1樓,林青萍,02-25000206,,25.0648629,121.5404259
8,臺北市,中山區,民安里;集英里;聚盛里;,社團法人中華民國明健慈善公益協進會,臺北市中山區民安里民生西路6號6樓,林進興,0987326467,109/02/01,25.0577417,121.5223787
9,臺北市,中山區,,財團法人台灣老人急重症基金會(中山據點),臺北市中山區中山里中山北路2段77巷14號3樓,黃穗秋,02-25224388,,25.05737,121.524349
10,臺北市,中山區,,慈濟八德環保教育站,臺北市中山區中庄里八德路二段118號,慈濟台北分會,02-27760111,104/09/09,25.045941,121.5370697
11,臺北市,中山區,聚盛里;,財團法人台灣老人急重症基金會,臺北市中山區聚盛里民生東路一段42號7樓之3,黃穗秋,02-25224388,,25.0579194,121.5244916
12,臺北市,中山區,中原里;,財團法人台灣省私立健順養護中心(中山老人住宅暨服務中心),臺北市中山區中原里新生北路2段101巷2號,陳奕勳,02-25420006#100,101/06/18,25.057139,121.528395
13,臺北市,中山區,,臺北市中山區正守里辦公處,臺北市中山區正守里林森北路67巷7號1.2樓,陳育群,0975-875967,,25.0486467,121.5249137
14,臺北市,中山區,新喜里;,財團法人新北市基督教新希望教會(新喜),臺北市中山區新喜里吉林路433巷17號,游美花,02-25993693,,25.0670215,121.5313213
15,臺北市,中山區,朱崙里;埤頭里;力行里;,臺北市中山區朱厝崙社區發展協會,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動中心),高銘鴻,02-27815504    0936-096604,094/10/18,25.0475413,121.5405446
16,臺北市,中山區,新庄里;,臺北市中山區新福里辦公處,臺北市中山區新庄里新生北路三段105號,童勝輝,0910-195039,,25.0707864,121.5292897
17,臺北市,中山區,中原里;康樂里;中吉里;,台北市敬老協會,臺北市中山區中原里新生北路2段41巷7號1樓,楊金春,02-2581-9955,106/08/02,25.0555034,121.5281228
18,臺北市,中山區,中央里;,財團法人味全文化教育基金會,臺北市中山區中央里松江路125號4樓,賀培俞,02-25065001,107/11/12,25.0531691,121.5334641
19,臺北市,中山區,正得里;正守里;正義里;,財團法人台北市中山基督長老教會,臺北市中山區正得里林森北路62號,李真,02-25518480#119,107/11/13,25.0489614,121.5242278
20,臺北市,中山區,中山里;,財團法人台灣老人急重症基金會(龍洲據點),臺北市中山區龍洲里民生東路3段88巷1號,黃穗秋,02-25224388,,25.0576214,121.5417828
21,臺北市,中山區,江山里;江寧里;下埤里;,社團法人台灣厝邊有愛關懷協會(中興教會),臺北市中山區江山里復興北路280巷8號,白惠芳,02-23636356,,25.0585956,121.5433582
22,臺北市,中山區,北安里;,社團法人台北市家庭照顧者關懷協會,臺北市中山區北安里北安路805巷4弄5號地下,陳怡靜,0916-780645,,25.0862564,121.5543684
23,臺北市,中山區,民安里;正守里;正義里;正得里;康樂里;,臺北市中山區民安里辦公處,臺北市中山區民安里長安西路3號3樓之1,王俊堯,0983-672893,,25.050231,121.521014
24,臺北市,中山區,晴光里;,晴光里辦公處,臺北市中山區晴光里雙城街18巷20號,林姿吟,0981-201026,107/11/21,25.0653711,121.5230588
25,臺北市,中山區,劍潭里;,臺北市中山區劍潭里里辦公處,臺北市中山區劍潭里通北街143號,黃開芳,0952-630327,098/02/16,25.084918,121.538043
26,臺北市,中山區,力行里;,社團法人中華社區厝邊頭尾營造協會,臺北市中山區力行里南京東路3段130號3樓,石美姬,0939-260482,,25.0515961,121.5408639
27,臺北市,中山區,行政里;,臺北市長青福利會,臺北市中山區行政里民權東路二段135巷30弄18號1樓,湯淑惠,02-25079552,096/09/01,25.0641516,121.5343007
28,臺北市,中山區,新福里;新喜里;新庄里;恆安里;,財團法人天主教中華道明會,臺北市中山區新福里吉林路378號,陳秋美,2594-2294#4071,,25.0645903,121.5298819
29,臺北市,中山區,正義里;,社團法人天主教中華基督神修小會之友人文關懷與服務促進協會,臺北市中山區正義里林森北路73號2樓,戎巧復小姐,0937-937856,,25.0493129,121.5248958
30,臺北市,中山區,復華里;朱馥里;龍洲里;力行里;江山里;,臺北市復華長青多元服務中心(財團法人台灣省私立健順養護中心),臺北市中山區復華里遼寧街185巷11號,賴安安,2717-1393#166,107/08/02,25.0534368,121.5427985
31,臺北市,中山區,朱園里;,臺北市中山區朱園里辦公處,臺北市中山區朱園里松江路25巷9號B1,柯為譯,0972-295636,,25.0475789,121.5339642
32,臺北市,中山區,,台北市中山區埤頭里辦公處,臺北市中山區埤頭里安東街5之2號,黃基淋,0913-011212,,25.0461133,121.5421096
33,臺北市,中山區,中原里;,臺北市中山區中原里辦公處,臺北市中山區中原里新生北路2段53號2樓,羅崇華,02-2531-5557,,25.0560942,121.5279621
34,臺北市,中山區,,臺北市中山區行孝里辦公處,臺北市中山區行孝里民族東路282號4樓,呂勗淇,02-25172230,,25.0677405,121.5358764
35,臺北市,中山區,下埤里;江寧里;行孝里;行仁里;行政里;,財團法人新北市基督教新希望教會(中山五常),臺北市中山區下埤里龍江路377巷20號1樓,甘路得,02-25154949,107/11/21,25.0646843,121.5421459
36,臺北市,中山區,江寧里;,社團法人臺北市基督教合江拿撒勒人會,臺北市中山區江寧里合江街127巷6號,傳道,0911-781607,,25.0606278,121.539633
37,臺北市,中山區,大直里;,臺北市中山區大直社區發展協會,臺北市中山區大直里大直路21巷1號4樓(大直第一區民活動中心)及臺北市大直街39巷3號1,陳怡靜,02-25329522 / 0916780645,107/11/13,25.082582,121.546735
38,臺北市,中山區,圓山里;,財團法人佳音文教基金會,臺北市中山區圓山里雙城街43巷2號1樓,楊勝榮,2585-4116,,25.0675634,121.5247386
39,臺北市,中正區,文北里;幸市里;,財團法人伽耶山基金會,臺北市中正區文北里濟南路二段36號2樓、3樓、4樓,陳盈蒨,02-23946800,,25.0406143,121.5295905
40,臺北市,中正區,南福里;,社團法人中華民國愛之語全人關懷教育協會,臺北市中正區南福里羅斯福路2段44號2樓,高宜利,02-23215690,,25.0279578,121.5214365
41,臺北市,中正區,文盛里;,財團法人環宇國際文化教育基金會古亭據點,臺北市中正區文盛里羅斯福路3段240巷17弄3號,賴世芸,02-23641334,107/07/24,25.0176349,121.5290591
42,臺北市,中正區,水源里;,台北市寶藏巖文化村協會,臺北市中正區水源里汀州路三段230巷14弄10號,詹智雄,0926579112,,25.0105669,121.5324161
43,臺北市,中正區,永昌里;永功里;龍興里;廈安里;忠勤里;,臺北市永昌長青會,臺北市中正區永昌里寧波西街181巷24號1樓,尹大陸,02-23071068,100/03/03,25.026537,121.510054
44,臺北市,中正區,螢圃里;網溪里;河堤里;板溪里;螢雪里;頂東里;,財團法人中華基督教廈門街浸信會,臺北市中正區螢圃里厦門街81巷20號,李彩霞,02-23687582#213,096/09/06,25.0243156,121.5192916
45,臺北市,中正區,新營里;,臺北市中正區新營共好社區發展協會,臺北市中正區新營里金華街20號,賴嘉妤,02-23567317,,25.0316513,121.5204356
