序號,據點名稱,據點地址,據點電話,lat,lon
1,社團法人台灣基督教天母豐盛協會,臺北市士林區天祿里中山北路6段726號7樓,,25.1150441,121.5279091
2,社團法人中華仁親社區關懷協會,臺北市士林區義信里基河路128號2樓,2880-3408#2280,25.0887042,121.5231478
3,社團法人天主教中華基督神修小會之友人文關懷與服務促進協會(大安),臺北市大安區和安里信義路3段147巷15弄23號1樓,02-25230538,25.0351704,121.5427674
4,臺北市大安區義村里辦公處,臺北市大安區義村里忠孝東路3段248巷7弄4號1樓,,25.0416091,121.5412737
5,社團法人中華生命關懷協會,臺北市大安區芳和里和平東路3段212巷12號,0922-407837,25.026482,121.533964
6,社團法人台灣厝邊有愛關懷協會(六張犁),臺北市大安區黎元里臺北市臥龍街215號,02-2363-6356,25.0185119,121.5535662
7,臺北市大安區光明里辦公處,臺北市大安區光明里信義路2段86巷26號,0928-924384,25.0337801,121.5258274
8,臺北市大安區通化里辦公處,臺北市大安區通化里通化街19巷19號,02-27019336,25.0317654,121.5552833
9,社團法人台灣沐風關懷協會,臺北市信義區新仁里忠孝東路4段563號5樓,,25.0409687,121.5650196
10,臺北市文山區萬芳里辦公處,臺北市文山區萬芳里萬和街2號,,25.0014993,121.567985
11,台灣體適能健康促進協會(興豐),臺北市文山區興豐里興隆路2段95巷8號7樓至9樓,,25.0000753,121.5469154
12,臺北市北投區建民社區發展協會,臺北市北投區建民里福國路-福國社宅,,25.1021905,121.5137948
13,臺北市中山區康樂社區發展協會,臺北市中山區康樂里南京東路1段35號,,25.0523164,121.5281004
14,中華民國紅十字會台灣省分會(新生),臺北市大安區龍坡里新生南路3段20號4樓,02-23630098,25.0242923,121.534441
15,臺北市大安區古莊社區發展協會,臺北市大安區古莊里6鄰羅斯福路2段81巷16弄1-2號2樓,02-2369-6262,25.0255496,121.5245957
16,臺北市大安區安東社區發展協會,臺北市大安區誠安里安東街31之1號、臺北市忠孝東路3段251巷12弄14號1樓,02-27715532,25.0418342,121.5440331
17,臺北市大安區龍生里辦公處,臺北市大安區龍生里和平東路2段107巷9號,02-23511711#8216,25.026419,121.533962
18,臺北市大安區錦華里辦公處,臺北市大安區錦華里羅斯福路2段35巷19弄6號1樓,02-23923999,25.0281794,121.5229273
19,國立臺灣師範大學學務處全人教育中心,臺北市大安區錦安里大安區錦安里和平東路一段129號,02-77495619,25.0274561,121.5285368
20,財團法人台灣基督長老教會大安教會,臺北市大安區群賢里和平東路3段1巷51號,02-27064477,25.026482,121.533964
21,臺北市大安區永康里辦公處,臺北市大安區永康里金華街199巷3弄6號1樓,0931-234954,25.030536,121.528429
22,臺北市大安區古風里辦公處,臺北市大安區古風里辛亥路1段141號1樓,02-33651622,25.0006751,121.5546272
23,臺北市大安區法治里辦公處,臺北市大安區法治里臺北市通化街192號,02-2738-6436,25.0261602,121.5529248
24,社團法人台灣美好生活集河協會,臺北市士林區福華里通河街179巷2號3樓,,25.0817495,121.5193588
