WKT,醫療院所,縣市,鄉鎮市區,地址,電話
"POINT (120.299219408955 22.7260870933176)",至美牙醫診所,高雄市,楠梓區,翠屏路47號1樓、2樓、3樓、4樓,07-3662526
"POINT (120.286014528439 22.7188670720896)",康仕美診所,高雄市,楠梓區,德民路1017號1樓,07-3656338
"POINT (120.289635207289 22.7249980618134)",高大美杏生醫院,高雄市,楠梓區,大學東路1號1-3樓,"3658885"
"POINT (120.326196018841 22.7271481308744)",仁德中醫診所,高雄市,楠梓區,建楠路182號1樓,07-3515639
"POINT (120.311554528372 22.71415131082)",學專眼科診所,高雄市,楠梓區,學專路105號1樓、2樓、3樓、4樓,07-3653800
"POINT (120.289721370624 22.7142267871092)",丹提斯牙醫診所,高雄市,楠梓區,右昌街318號1樓,07-3600985
"POINT (120.284357212612 22.7144009146394)",健昌骨外科診所,高雄市,楠梓區,三山街210號1、2、3樓,07-3603434
"POINT (120.286527528894 22.7191862441907)",康兒診所,高雄市,楠梓區,德民路1003-2號1樓、1003-3號1樓,07-3639263
"POINT (120.295732829709 22.7105711522496)",愛生診所,高雄市,楠梓區,後昌路795號1樓,07-3652378
"POINT (120.289379720923 22.7212692104655)",大健康診所,高雄市,楠梓區,德民路922號1樓、2樓,07-3632222
"POINT (120.287131992239 22.7199083145628)",翁仲仁婦產科診所,高雄市,楠梓區,德民路1010-5號2樓3樓4樓,07-3626158
"POINT (120.306222807941 22.7274470398343)",媄仁診所,高雄市,楠梓區,德賢路220巷29號1樓、2樓、3樓,07-3657800
"POINT (120.328406216217 22.7321063295381)",高雄市楠梓區衛生所,高雄市,楠梓區,楠梓路202號1-4樓,07 -3512119
"POINT (120.294689071402 22.7261664163448)",昇牙醫診所,高雄市,楠梓區,援中路312號1樓、2樓、3樓,07-3641312
"POINT (120.285534842991 22.7319992359032)",思恩堂中醫診所,高雄市,楠梓區,大學南路603號1樓,07-3640877
"POINT (120.300070046692 22.7252750611466)",芳程牙醫診所,高雄市,楠梓區,德賢路547號1樓,07 3650544
"POINT (120.338018299527 22.7415023297761)",新家恩診所,高雄市,楠梓區,旗楠路883-8號1樓,07-3551133
"POINT (120.292196009516 22.7323449419245)",小學堂兒科診所,高雄市,楠梓區,大學南路232號1樓、2樓、3樓,07-3655601
"POINT (120.301751556412 22.7269679977375)",沐仁耳鼻喉科診所,高雄市,楠梓區,德賢路530巷29號1樓,07-3652233
"POINT (120.295889965418 22.7103287858839)",安舜診所,高雄市,楠梓區,後昌路781號1樓,07-3642666
"POINT (120.290054271918 22.7293589730096)",佳澤診所,高雄市,楠梓區,大學東路207號1樓,07-3601262
"POINT (120.329097933276 22.7262120766014)",謝坤霖耳鼻喉科診所,高雄市,楠梓區,鳳楠路263號1樓,07-3551661
"POINT (120.304061719616 22.726186450994)",陳顯明診所,高雄市,楠梓區,德賢路265號1-2樓,07 3648127
