公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期
22555003,統一超商股份有限公司,18639,台北市第一一八六分公司,臺北市中正區汀州路三段180號,1,1140225,       
22555003,統一超商股份有限公司,25358,台北市第一二四０分公司,臺北市大安區忠孝東路三段251巷2弄1號,1,1140106,       
22555003,統一超商股份有限公司,49561,台北市第一二三九分公司,臺北市士林區美崙街114號,1,1131216,       
22555003,統一超商股份有限公司,62493,台北市第一二三三分公司,臺北市中山區德惠街65、67、69、71號1樓,1,1131016,       
22555003,統一超商股份有限公司,63916,台北市第一二三四分公司,臺北市內湖區東湖路114號,1,1131016,       
22555003,統一超商股份有限公司,66456,台北市第一二三七分公司,臺北市松山區南京東路三段331號1樓,1,1131213,       
22555003,統一超商股份有限公司,66688,台北市第一二四七分公司,臺北市萬華區西園路一段80、82號1樓,1,1140318,       
22555003,統一超商股份有限公司,71319,台北市第一一八五分公司,臺北市文山區和興路1、3、5號,1,1131219,       
22555003,統一超商股份有限公司,108836,台北市第一二四一分公司,臺北市北投區公舘路230號,1,1140107,1140313
22555003,統一超商股份有限公司,121417,台北市第一一六六分公司,臺北市萬華區康定路154、156號1樓,1,1130827,       
22555003,統一超商股份有限公司,135030,台北市第一一八三分公司,臺北市南港區園區街3號2樓之7,1,1130930,       
22555003,統一超商股份有限公司,137353,台北市第一一八四分公司,臺北市文山區興隆路四段55號1樓,1,1131023,       
22555003,統一超商股份有限公司,177740,台北市第一二四二分公司,臺北市松山區光復北路32號1樓,1,1140212,       
22555003,統一超商股份有限公司,194213,台北市第一二三○分公司,臺北市萬華區興義街41、43號,1,1130828,       
22555003,統一超商股份有限公司,201299,台北市第一二三二分公司,臺北市中山區林森北路107巷83號1樓,1,1130913,       
22555003,統一超商股份有限公司,226263,台北市第一二三六分公司,臺北市萬華區大理街128之1、128之2號1樓,1,1131119,       
22555003,統一超商股份有限公司,243565,台北市第一二三一分公司,臺北市松山區八德路三段74巷43號1樓,1,1130913,       
22555003,統一超商股份有限公司,250018,台北市第一二三五分公司,臺北市松山區八德路四段147號,1,1131016,       
22555003,統一超商股份有限公司,251332,台北市第一二三八分公司,臺北市中山區敬業一路56號1樓,1,1131213,       
22555003,統一超商股份有限公司,1846195,台北市第一七０分公司,臺北市士林區文林路一六九號一樓,1,0781127,       
22555003,統一超商股份有限公司,16080140,台北巿第三四二分公司,臺北市松山區健康路224號１樓,1,0860419,0990901
22555003,統一超商股份有限公司,16082148,台北巿第二二四分公司,臺北市中山區民權東路3段71、73號1樓,1,0860515,1000920
22555003,統一超商股份有限公司,16082175,台北巿第２３３分公司,臺北市南港區東新街80巷1號1樓、108巷2弄30號1樓,1,0860515,1070906
22555003,統一超商股份有限公司,16082787,台北巿第３４３分公司,臺北市中山區民生東路二段157號,1,0860522,1070907
22555003,統一超商股份有限公司,16083723,台北巿第２３７分公司,臺北市信義區吳興街257、259號1樓,1,0860604,1070905
22555003,統一超商股份有限公司,16083738,台北巿第２１３分公司,臺北市中山區伊通街30號1樓,1,0860604,1080717
22555003,統一超商股份有限公司,16085004,台北巿第３４４分公司,臺北市士林區天玉里８鄰天母西路５巷６號１樓,3,0860619,0860619
22555003,統一超商股份有限公司,16085237,台北市第３３１分公司,臺北市中山區林森北路262號1樓,1,0860619,1070911
22555003,統一超商股份有限公司,16085243,台北市第３４５分公司,臺北市中山區中山北路二段七十四號１樓,3,0860619,0890216
22555003,統一超商股份有限公司,16085258,台北市第３４６分公司,臺北市萬華區環河南路二段200號1樓,1,0860619,1070918
22555003,統一超商股份有限公司,16086926,台北巿第３４７分公司,臺北市中山區民權西路66號1樓,3,0860710,1070904
22555003,統一超商股份有限公司,16086931,台北巿第３４８分公司,臺北市北投區立德路１２５號１樓,3,0860710,0881204
