序號,行政區,里別,據點名稱,據點類型,據點地址,聯絡電話,lat,lon
1,士林區,三玉里,台灣健康社區自主發展協會,社區照顧關懷據點 10個時段,臺北市士林區三玉里德行東路203巷2號1樓,02-28369493,25.1092589,121.5322353
2,士林區,三玉里,士林老人服務中心(財團法人台北市 中國基督教靈糧世界佈道會士林靈糧 堂),社區照顧關懷據點 功能型(老服中心),臺北市士林區三玉里忠誠路2段53巷7號5樓,02-28381571#253,25.11159,121.5324062
3,士林區,仁勇里,財團法人基督教台灣信義會(士林歌 珊堂),社區照顧關懷據點 4-5時段,臺北市士林區仁勇里大東路76號1樓,0939-060673,25.0903719,121.5258603
4,士林區,天山里,台北市士林區天和社區發展協會,社區照顧關懷據點 6-7時段,臺北市士林區天山里中山北路7段154巷6號4樓,0936-889263,25.1234101,121.5330596
5,士林區,天山里,財團法人天主教遣使會-聖文生之友 社區關懷據點,社區照顧關懷據點 8-9時段,臺北市士林區天山里中山北路7段134號,02-28763236,25.1227884,121.5322519
6,士林區,天山里,財團法人臺北市松年長春社會福利基 金會(士林),社區照顧關懷據點 8-9時段,臺北市士林區天山里中山北路7段122號3樓,02-28723425,25.1224019,121.5321052
7,士林區,天母里,臺北市士林區天母里辦公處,社區照顧關懷據點 2-3時段,臺北市士林區天母里中山北路7段191巷23號,02-28735077,25.125457,121.531086
8,士林區,天母里,財團法人台北市天母基督教會,社區照顧關懷據點 6-7時段,臺北市士林區天母里天玉街63號,02-28714742,25.1220151,121.5307058
9,士林區,天母里,財團法人陽明山基督教天母禮拜堂,社區照顧關懷據點 6-7時段,臺北市士林區天母里中山北路7段216巷1號,02-28711622#25,25.1258702,121.5330052
10,士林區,天玉里,臺北市天母全人關懷協會,社區照顧關懷據點 6-7時段,臺北市士林區天玉里中山北路7段81巷7號B2樓,02-28746222,25.1217666,121.5303175
11,士林區,天祿里,社團法人台灣基督教天母豐盛協會,社區照顧關懷據點 4-5時段,臺北市士林區天祿里中山北路6段726號2-6.7樓,0933-239334,25.1150441,121.5279091
