編號,據點名稱,行政區,里別,據點地址,lat,lon
1,財團法人新北市基督教新希望教會(百齡長青),士林區,前港里,臺北市士林區前港里承德路4段190號4樓,25.0872006,121.5222819
2,財團法人台北市中華基督教浸信會慈光堂,士林區,翠山里,臺北市士林區翠山里中社路1段43巷1號,25.1087676,121.5613135
3,台灣健康社區自主發展協會,士林區,三玉里,臺北市士林區三玉里德行東路203巷2號1樓,25.1092589,121.5322353
4,財團法人台北市華夏婦女文教基金會,士林區,岩山里,臺北市士林區岩山里至誠路1段62巷28號,25.1010597,121.5372188
5,財團法人一粒麥子社會福利慈善事業基金會,大同區,光能里,臺北市大同區光能里承德路2段33之1號1樓、33號2樓,25.0546795,121.5184019
6,天主教耕莘醫療財團法人永和耕莘醫院(大龍老人住宅),大同區,至聖里,臺北市大同區至聖里民族西路105號4樓及4樓之1,25.0687846,121.5170522
7,臺北市大安區群英里辦公處,大安區,群英里,臺北市大安區群英里四維路198巷30弄9號1樓;198巷38弄2、4、8號1樓:198巷42、44號,25.026519,121.5458646
8,財團法人新北市基督教新希望教會(中山五常),中山區,下埤里,臺北市中山區下埤里龍江路377巷20號1樓,25.0646843,121.5421459
9,臺北市中山區朱厝崙社區發展協會,中山區,朱崙里,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動中心),25.0475413,121.5405446
10,財團法人環宇國際文化教育基金會,中正區,文盛里,臺北市中正區文盛里羅斯福路3段240巷17弄3號、臺北市中正區水源路臨28號,25.0176349,121.5290591
11,台灣旺齡協會,中正區,頂東里,臺北市中正區頂東里羅斯福路3段84巷13、15號1樓,25.0216107,121.5268154
12,財團法人台灣基督教恩惠福音會,內湖區,港墘里,臺北市內湖區港墘里內湖路1段608號,25.0823089,121.5683655
13,中華民國天使之家全人關懷協會,內湖區,湖興里,臺北市內湖區湖興里成功路2段242號1樓,25.065888,121.5900616
14,臺北市文山區華興里辦公處,文山區,華興里,臺北市文山區華興里木柵路1段264號;木柵路1段311巷1號;木柵路2段2巷,25.0250117,121.5450092
15,中華民國紅心字會(興隆),文山區,明義里,臺北市文山區明義里興隆路4段105巷47號B棟1樓,24.9881877,121.5629351
16,財團法人利伯他茲教育基金會,文山區,木新里,臺北市文山區木新里永安街1號,24.9874482,121.5702677
17,台北市文山區順興社區發展協會,文山區,順興里,臺北市文山區順興里興隆路4段165巷12號1、2樓(協會活動會所);忠順街2段22號2樓(忠順區民活),24.9840629,121.5626204
18,臺北市文山區忠順社區發展協會,文山區,忠順里,臺北市文山區忠順里興隆路4段145巷9弄3號;興隆路4段145巷30號;忠順街2段22號2樓,24.9852731,121.5620053
19,台北市石牌長青會,北投區,長安里,臺北市北投區長安里中央北路1段12號3樓及4樓,25.1328975,121.475307
20,社團法人國際奔享體驗教育發展協會(稻香真光),北投區,稻香里,臺北市北投區稻香里稻香路85號1樓,25.1409522,121.4888625
21,社團法人台北市向日葵慈善協會,松山區,東勢里,臺北市松山區東勢里南京東路4段133巷7弄9號1樓、7號1樓,25.0518,121.5553991
22,財團法人雙福社會福利慈善事業基金會(信義社區照顧關懷據點),信義區,正和里,臺北市信義區正和里光復南路443巷9號臺北市信義區正和里光復南路447-44號,25.0353556,121.5586661
23,台北市後山埤文化發展協會,南港區,聯成里,臺北市南港區聯成里東新街77巷31號,25.0477391,121.5882798
24,財團法人弘道老人福利基金會,南港區,中南里,臺北市南港區中南里市民大道8段588巷18號,25.0538015,121.6145084
